Propagation summary for metamcuncert
Total tested pairs: 680
Same-layer pairs: 80
Off-diagonal pairs: 600

Top overall |delta| pairs
rank  ablate  capture   delta    std   |d|/sd  sig
----  ------  -------  -------  -----  ------  ---
   1      78       78   -1.611  0.310    5.20  yes
   2      38       78   -1.376  0.832    1.65   no
   3      37       77   -1.367  0.582    2.35  yes
   4      39       79   -1.352  0.867    1.56   no
   5      40       75   -1.284  0.663    1.94   no
   6      44       79   -1.144  0.911    1.26   no
   7      38       73   -1.127  0.611    1.84   no
   8      46       76   -1.117  0.700    1.59   no
   9      39       74   -1.115  0.607    1.84   no
  10      36       76   -1.102  0.493    2.24  yes
  11      37       72   -1.098  0.398    2.75  yes
  12      47       77   -1.085  0.725    1.50   no
  13      32       77   +1.082  0.458    2.37  yes
  14      43       78   -1.082  0.843    1.28   no
  15      40       70   -1.064  0.514    2.07  yes
  16      48       78   -1.054  0.754    1.40   no
  17      58       78   -1.017  0.543    1.87   no
  18      77       77   -1.008  0.264    3.82  yes
  19      45       75   -0.989  0.625    1.58   no
  20      76       76   -0.980  0.278    3.52  yes

Top off-diagonal |delta| pairs
rank  ablate  capture   delta    std   |d|/sd  sig
----  ------  -------  -------  -----  ------  ---
   1      38       78   -1.376  0.832    1.65   no
   2      37       77   -1.367  0.582    2.35  yes
   3      39       79   -1.352  0.867    1.56   no
   4      40       75   -1.284  0.663    1.94   no
   5      44       79   -1.144  0.911    1.26   no
   6      38       73   -1.127  0.611    1.84   no
   7      46       76   -1.117  0.700    1.59   no
   8      39       74   -1.115  0.607    1.84   no
   9      36       76   -1.102  0.493    2.24  yes
  10      37       72   -1.098  0.398    2.75  yes
  11      47       77   -1.085  0.725    1.50   no
  12      32       77   +1.082  0.458    2.37  yes
  13      43       78   -1.082  0.843    1.28   no
  14      40       70   -1.064  0.514    2.07  yes
  15      48       78   -1.054  0.754    1.40   no
  16      58       78   -1.017  0.543    1.87   no
  17      45       75   -0.989  0.625    1.58   no
  18      38       68   -0.924  0.484    1.91   no
  19      37       67   -0.920  0.314    2.93  yes
  20      36       71   -0.909  0.375    2.43  yes

Top same-layer |delta| pairs
rank  ablate  capture   delta    std   |d|/sd  sig
----  ------  -------  -------  -----  ------  ---
   1      78       78   -1.611  0.310    5.20  yes
   2      77       77   -1.008  0.264    3.82  yes
   3      76       76   -0.980  0.278    3.52  yes
   4      75       75   -0.715  0.193    3.71  yes
   5      79       79   -0.626  0.245    2.55  yes
   6      70       70   -0.531  0.160    3.32  yes
   7       8        8   -0.502  0.030   16.95  yes
   8      17       17   +0.482  0.045   10.65  yes
   9      21       21   +0.438  0.014   31.08  yes
  10      61       61   -0.433  0.159    2.73  yes
  11      58       58   -0.419  0.176    2.38  yes
  12      67       67   -0.418  0.143    2.92  yes
  13      71       71   -0.398  0.144    2.76  yes
  14      15       15   +0.397  0.058    6.86  yes
  15      66       66   -0.396  0.139    2.86  yes
  16      69       69   -0.392  0.140    2.81  yes
  17      59       59   -0.390  0.161    2.43  yes
  18      60       60   -0.383  0.163    2.35  yes
  19      74       74   -0.380  0.160    2.38  yes
  20      16       16   +0.379  0.053    7.18  yes
